timestamp,laplacian_variance,blur_bool,entropy,brightness,contrast,brightness_contrast_ratio,disparity_mean,disparity_var,disparity_std,disparity_min,disparity_max,w_x,w_y,w_z,a_x,a_y,a_z,p_x,p_y,p_z,q_w,q_x,q_y,q_z,v_x,v_y,v_z,b_vx,b_vy,b_vz, b_ax,b_ay,b_az
1.40371552486214E+018,326.862571453929,False,7.4326835,172.802185837766,51.4734604225167,3.35711227532266,2.66320627631871,96.0381668903062,9.79990647354893,0,111,0.037699111843078,0.016057029118348,0.075398223686155,9.11201229166667,1.04604266666667,-3.260711125,0.515356,1.996773,0.971104,0.161996,0.789985,-0.205376,0.554528,-0.002276,-0.009616,-0.005214,-0.002153,0.020744,0.075806,-0.013337,0.103464,0.093086
1.40371552491214E+018,325.912236313872,False,7.4349756,172.546235039894,51.4779370620566,3.35184828467173,2.61617578817598,93.7156867674383,9.68068627564381,0,111,0.043982297150257,0.011868238913562,0.063529984772594,9.32448970833333,0.890770708333333,-3.407810875,0.515342,1.996723,0.971077,0.161904,0.790015,-0.205283,0.554546,-0.003425,-0.010568,-0.005547,-0.002153,0.020744,0.075806,-0.013337,0.103464,0.093086
1.40371552496214E+018,325.720682299919,False,7.4410477,171.84180795656,51.6019218545687,3.33014356404917,2.62225021470523,94.312963264309,9.71148615116703,0,111,0.03700098014228,0.023736477827123,0.071209433481369,9.07932345833333,0.645604458333333,-3.20350566666667,0.515098,1.996129,0.970804,0.161838,0.789978,-0.20535,0.554594,-0.001785,-0.006964,-0.005277,-0.002153,0.020744,0.075806,-0.013337,0.103464,0.093086
1.40371552501214E+018,327.676217932244,False,7.43896,172.146265514184,51.6318459584972,3.33411022438669,2.60844588042996,92.9403390354617,9.64055698782294,0,111,-0.0307177948351,0.016755160819146,0.105417886820458,9.03846241666667,1.19314241666667,-3.138128,0.514923,1.995715,0.970619,0.161765,0.789926,-0.205403,0.554669,-0.004598,-0.008894,-0.003313,-0.002153,0.020744,0.075806,-0.013337,0.103464,0.093086
1.40371552506214E+018,316.731368999052,False,7.4403596,172.011549756206,51.6210915990285,3.33219512466572,2.62875664893617,92.5330442380639,9.61940976557626,0,111,-0.074700091985357,0.01535889741755,0.093549647906896,9.25911204166667,0.433127041666667,-3.32608879166667,0.51475,1.995386,0.970449,0.161689,0.78998,-0.205351,0.554634,-0.007526,-0.011269,-0.002925,-0.002153,0.020744,0.075806,-0.013337,0.103464,0.093086
1.40371552511214E+018,322.165081802122,False,7.4385886,172.289408798759,51.6609103845705,3.33500527799867,2.65089414339539,95.8171710651186,9.78862457473565,0,111,-0.0614355896702,0.034208453339089,0.097040306410885,8.76060733333333,0.702809916666667,-2.98285604166667,0.514563,1.995107,0.970332,0.161522,0.789951,-0.205531,0.554657,-0.004937,-0.008054,-0.001656,-0.002153,0.020744,0.075806,-0.013337,0.103464,0.093086
1.40371552516214E+018,326.556728730335,False,7.438417,172.078415890957,51.556803775149,3.33764708614271,2.65447106327571,93.6077067876641,9.67510758532763,0,111,-0.041189770347066,0.022340214425528,0.084473935796526,9.47158945833333,0.498504708333333,-3.334261,0.514438,1.994892,0.970253,0.161561,0.789967,-0.20551,0.554631,-0.003421,-0.004882,-0.000947,-0.002153,0.020744,0.075806,-0.013337,0.103464,0.093086
1.40371552521214E+018,330.766644184141,False,7.4365463,172.374648160461,51.4950324296481,3.34740342956298,2.61731943982713,91.1944602251136,9.54957906010069,0,111,-0.002094395102393,0.013264502315157,0.087964594300514,9.21007879166667,-0.277855083333333,-3.08092254166667,0.514377,1.994809,0.970195,0.161482,0.789918,-0.205777,0.554626,0.000822,0.000519,-0.00056,-0.002153,0.020744,0.075806,-0.013337,0.103464,0.093086
1.40371552526214E+018,317.253603321101,False,7.4383802,172.226133089539,51.5276985738701,3.34239909517084,2.60368946697695,92.6137710133806,9.62360488659944,0,111,0.062831853071796,0.020245819323134,0.066322511575785,9.36535075,-0.089894291666667,-3.31791658333333,0.514361,1.99479,0.970204,0.161671,0.789859,-0.206014,0.554565,0.003007,0.004242,-0.000109,-0.002153,0.020744,0.075806,-0.013337,0.103464,0.093086
1.40371552531214E+018,325.700245553381,False,7.442349,171.822487256206,51.6183097619324,3.32871200255615,2.62004498420878,93.1007914467346,9.64887513893379,0,111,0.034906585039887,0.008377580409573,0.064228116473391,9.50427829166667,-0.155271958333333,-3.29339995833333,0.514436,1.994815,0.970177,0.161591,0.789936,-0.206046,0.554467,0.00365,0.002277,-6.2E-05,-0.002153,0.020744,0.075806,-0.013337,0.103464,0.093086
1.40371552536214E+018,329.259081147052,False,7.4387727,172.195592309397,51.546520627007,3.34058613878932,2.59593739611037,94.8932155080592,9.74131487572695,0,111,0.023736477827123,0.029321531433505,0.071209433481369,9.08749566666667,-0.008172208333333,-3.08909475,0.514541,1.994839,0.970203,0.161506,0.790003,-0.206082,0.554384,0.001904,0.002283,0.000515,-0.002153,0.020744,0.075806,-0.013337,0.103464,0.093086
