timestamp,laplacian_variance,blur_bool,entropy,brightness,contrast,brightness_contrast_ratio,disparity_mean,disparity_var,disparity_std,disparity_min,disparity_max,w_x,w_y,w_z,a_x,a_y,a_z,p_x,p_y,p_z,q_w,q_x,q_y,q_z,v_x,v_y,v_z,b_vx,b_vy,b_vz, b_ax,b_ay,b_az
1.4036381288951E+018,246.113196157019,False,7.660191,118.216677748227,82.2175424961394,1.43785224125104,1.69348698609264,40.5603884737024,6.36870382995649,0,111,-0.026529004630314,0.027925268031909,0.007679448708775,8.85867383333333,0.024516625,-4.0207265,4.677066,-1.74944,0.568567,0.240749,-0.76113,-0.355916,-0.485843,0.002118,-0.005923,-0.002323,-0.002133,0.021059,0.076659,-0.026895,0.13691,0.059287
1.4036381289451E+018,248.526733410342,False,7.660999,118.075689827128,82.1502492416215,1.43731383552887,1.63740978917332,39.7342681695167,6.30351236768175,0,111,0.013962634015955,0.039095375244673,0.080285145591739,8.79329616666667,-0.326888333333333,-4.16782625,4.677072,-1.749469,0.568555,0.24079,-0.761103,-0.355913,-0.485868,0.000566,-0.005685,-0.002679,-0.002133,0.021059,0.076659,-0.026895,0.13691,0.059287
1.4036381289951E+018,250.313156814264,False,7.6583314,118.206186281028,82.2360438573874,1.43740117759093,1.67785592586436,41.2080956372172,6.41935321019316,0,111,-0.013264502315157,0.023736477827123,0.057944931166212,9.022118,-0.114410916666667,-3.77556025,4.677011,-1.749784,0.568388,0.240838,-0.761112,-0.355911,-0.485833,0.001713,-0.004805,-0.002339,-0.002133,0.021059,0.076659,-0.026895,0.13691,0.059287
1.4036381290451E+018,243.209666664534,False,7.658882,117.971528701241,82.2157155070189,1.43490241462619,1.63985483156028,38.0273962487691,6.16663573180458,0,111,-0.000698131700798,0.033510321638291,-0.040491638646269,9.242767625,0.155271958333333,-4.314926,4.677137,-1.749737,0.568399,0.240798,-0.760673,-0.356428,-0.486161,0.001846,0.002228,0.008804,-0.002133,0.021059,0.076659,-0.026895,0.13691,0.059287
1.4036381290951E+018,241.484507297147,False,7.653685,117.996708776596,82.3343277979322,1.43314109597381,1.58654300337988,35.4046231573754,5.95017841391125,0,111,-0.041189770347066,0.009773843811168,-0.041887902047864,9.022118,-0.310543916666667,-4.15148183333333,4.677146,-1.74958,0.569104,0.238302,-0.759684,-0.358789,-0.487199,-0.005107,0.006867,0.017608,-0.002133,0.021059,0.076659,-0.026895,0.13691,0.059287
1.4036381291451E+018,206.052518953341,False,7.6516967,117.464270279255,82.5127746260535,1.42358890258631,1.58305889156693,35.9791741341682,5.99826426011461,0,111,-0.06771877497738,0.08307767239493,0.005585053606382,9.29997308333333,0.400438208333333,-3.996209875,4.676949,-1.749374,0.570228,0.236696,-0.758908,-0.359664,-0.488543,0.003368,-3.5E-05,0.028974,-0.002133,0.021059,0.076659,-0.026895,0.13691,0.059287
1.4036381291951E+018,133.59255916753,False,7.647373,116.68162954344,83.2429927677327,1.40169911801476,1.71509654809397,41.7033227863137,6.45781099029026,0,111,0.110304808726042,0.15079644737231,0.270176968208722,9.30814529166667,0.065377666666667,-4.06975975,4.677106,-1.749224,0.572021,0.238108,-0.758023,-0.358639,-0.489983,0.000976,0.006168,0.04328,-0.002133,0.021059,0.076659,-0.026895,0.13691,0.059287
1.4036381292451E+018,98.4073474807475,True,7.653333,115.448805961879,84.2671657252952,1.37003309614369,1.87478339012633,49.6269890606856,7.04464257863276,0,111,0.140324471860344,0.325329372571743,0.580845575063713,9.66772245833333,-0.024516625,-4.143309625,4.677687,-1.749262,0.574909,0.246708,-0.75761,-0.352487,-0.490833,0.021557,-0.007877,0.074302,-0.002133,0.021059,0.076659,-0.026895,0.13691,0.059287
1.4036381292951E+018,102.190634832298,False,7.627796,111.584843195922,85.4422869974241,1.30596742101819,2.26714386635638,66.6443319206949,8.16359797642528,0,111,0.136833813356355,0.54175019981904,0.797964534011807,9.50427829166667,0.057205458333333,-3.97986545833333,4.678902,-1.749989,0.579736,0.260994,-0.757078,-0.339783,-0.49322,0.029511,-0.023677,0.116872,-0.002133,0.021059,0.076659,-0.026895,0.13691,0.059287
1.4036381293451E+018,100.999206464867,False,7.5289574,104.268115580674,86.2771608200734,1.20852511359431,2.15933050060949,47.2041352088551,6.87052655979548,0,111,0.131946891450771,0.45867252742411,0.836361777555683,8.997601375,-1.43013645833333,-3.46501633333333,4.680539,-1.751542,0.58563,0.276659,-0.756278,-0.323702,-0.496713,0.026362,-0.030741,0.111791,-0.002133,0.021059,0.076659,-0.026895,0.13691,0.059287
