timestamp,laplacian_variance,blur_bool,entropy,brightness,contrast,brightness_contrast_ratio,disparity_mean,disparity_var,disparity_std,disparity_min,disparity_max,w_x,w_y,w_z,a_x,a_y,a_z,p_x,p_y,p_z,q_w,q_x,q_y,q_z,v_x,v_y,v_z,b_vx,b_vy,b_vz, b_ax,b_ay,b_az,success
1.41339488270576E+018,278.67952069194,False,7.3065453,101.761671653369,85.3646819786728,1.19208165829977,4.38228179715204,116.785892213043,10.8067521583982,0,111,0.001396263401595,0.028623399732707,0.081681408993335,9.487933875,0.424954833333333,-2.81123966666667,-1.053289,0.42801,1.332836,0.604566,0.02664,-0.795382,0.03403,-0.018145,-0.009445,-0.00011,-0.001558,0.024606,0.080515,-0.015406,0.083486,0.036469,1
1.41339488275576E+018,277.734215456654,False,7.3104153,101.776761968085,85.3490293335343,1.1924770880563,4.49131586602394,124.658800158076,11.1650705397716,0,111,0.001396263401595,0.037699111843078,0.081681408993335,9.03029020833333,0.588399,-2.36994041666667,-1.053197,0.428061,1.332837,0.604566,0.026558,-0.795388,0.03395,-0.01865,-0.010993,-0.000378,-0.001558,0.024606,0.080515,-0.015406,0.083486,0.036469,1
1.41339488280576E+018,277.213306178714,False,7.309099,101.740749667553,85.3581728114287,1.191927454824,4.41600869902482,123.215347744508,11.1002408867785,0,111,-0.0307177948351,0.013962634015955,0.08936085770211,9.56148375,0.318716125,-2.82758408333333,-1.053469,0.427944,1.332831,0.604567,0.026647,-0.795379,0.034058,-0.018002,-0.003843,-0.000936,-0.001558,0.024606,0.080515,-0.015406,0.083486,0.036469,1
1.41339488285576E+018,276.337646107307,False,7.3076105,101.563566600177,85.3272172421192,1.19028335720813,4.34234160294769,114.53210283326,10.7019672412721,0,111,-0.036302848441482,0.027925268031909,0.085172067497323,9.29997308333333,0.122583125,-2.66413991666667,-1.054249,0.427682,1.332841,0.604516,0.026469,-0.795424,0.034083,-0.014317,0.000245,-6E-06,-0.001558,0.024606,0.080515,-0.015406,0.083486,0.036469,1
1.41339488290576E+018,276.461357283816,False,7.311522,101.795869348404,85.3263663626706,1.19301774689118,4.29581688414229,120.1663506695,10.9620413550351,0,111,-0.035604716740684,0.032812189937493,0.085870199198121,9.34900633333333,-0.302371708333333,-2.71317316666667,-1.054811,0.427514,1.332834,0.604567,0.026388,-0.795393,0.033929,-0.00846,0.001416,0.000956,-0.001558,0.024606,0.080515,-0.015406,0.083486,0.036469,1
1.41339488295576E+018,276.754648272455,False,7.3094563,101.656333111702,85.3625040198445,1.19087805915428,4.38480129377216,121.768237661889,11.0348646417565,0,111,-0.009075712110371,0.034208453339089,0.085870199198121,9.144701125,-0.433127041666667,-2.41897366666667,-1.055148,0.427327,1.332843,0.604553,0.026306,-0.795409,0.033891,-0.004835,-0.001807,-0.000382,-0.001558,0.024606,0.080515,-0.015406,0.083486,0.036469,1
1.41339488300576E+018,277.060112933175,False,7.31021,101.770741910461,85.305589424819,1.19301375908261,4.37620840951906,118.884433806552,10.9034138601886,0,111,0.003490658503989,0.011170107212764,0.074700091985357,9.45524504166667,-0.228821833333333,-2.68865654166667,-1.055394,0.4272,1.332795,0.604469,0.026283,-0.79547,0.033972,-0.003253,-0.002127,-0.001365,-0.001558,0.024606,0.080515,-0.015406,0.083486,0.036469,1
1.41339488305576E+018,277.757241312248,False,7.309909,101.485109153369,85.3224099919557,1.18943087944817,4.55596620816711,129.478619970853,11.3788672534156,0,111,0.002094395102393,0.032114058236696,0.080983277292537,9.56148375,0.008172208333333,-2.6477955,-1.055522,0.42712,1.33281,0.604447,0.026329,-0.795484,0.034,-0.0013,-0.002484,-8.7E-05,-0.001558,0.024606,0.080515,-0.015406,0.083486,0.036469,1
1.41339488310576E+018,277.370339852414,False,7.307838,101.729753989362,85.3395287834959,1.19205900758425,4.4450086228391,120.301719040211,10.9682140314734,0,111,-0.013962634015955,0.03700098014228,0.076096355386953,9.60234479166667,0.171616375,-2.86027291666667,-1.0556,0.427055,1.332795,0.604462,0.026319,-0.795471,0.034053,-0.000583,0.000263,0.000932,-0.001558,0.024606,0.080515,-0.015406,0.083486,0.036469,1
1.41339488315576E+018,277.361192043833,False,7.3084865,101.570669880319,85.3126689149931,1.19056959736573,4.23975250027704,111.218060901783,10.5459973877194,0,111,-0.013264502315157,0.030019663134303,0.078190750489346,9.15287333333333,-0.016344416666667,-2.63962329166667,-1.055659,0.427093,1.332806,0.604517,0.026338,-0.795431,0.033987,0.00054,0.003874,0.000549,-0.001558,0.024606,0.080515,-0.015405,0.083486,0.036469,1
1.41339488320576E+018,276.192090126798,False,7.313079,101.806524268617,85.294297009061,1.19359122284344,4.38695873503989,121.733129784638,11.0332737564441,0,111,-0.018849555921539,0.030019663134303,0.092153384505301,9.30814529166667,-0.2941995,-2.60693445833333,-1.055665,0.427151,1.332809,0.604559,0.026241,-0.795404,0.033959,0.001304,0.003288,0.000517,-0.001558,0.024606,0.080515,-0.015405,0.083486,0.036469,1
1.41339488325576E+018,276.967267835717,False,7.308836,101.446320921986,85.3348290913891,1.18880323546839,4.45667231133644,120.903380532985,10.9956073289739,0,111,-0.010471975511966,0.022340214425528,0.087266462599717,9.35717854166667,-0.400438208333333,-2.574245625,-1.055653,0.427194,1.332843,0.604546,0.026153,-0.795415,0.033994,0.002103,0.003339,0.000272,-0.001558,0.024606,0.080515,-0.015405,0.083486,0.036469,1
1.41339488330576E+018,276.802001720655,False,7.3079524,101.706707114362,85.3070980832393,1.19224202205449,4.46603467143174,123.950645075496,11.1333124035705,0,111,0.011868238913562,0.013962634015955,0.086568330898919,9.635033625,-0.367749375,-2.92565058333333,-1.055595,0.427246,1.332856,0.604512,0.026153,-0.79544,0.034004,0.002765,-0.000108,-0.000973,-0.001558,0.024606,0.080515,-0.015405,0.083486,0.036469,1
